aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
pasta sauce,dry goods pasta,dry pasta,dry goods pasta,62502,1.9441508438588884,4.439707327264544
soap,personal care,dish detergents,household,6660,0.20716208473489164,4.437500682340734
dish detergents,household,body lotions soap,personal care,4280,0.1331311895893898,4.400479576089099
pasta sauce,dry goods pasta,fresh pasta,dry goods pasta,9308,0.2895292319387945,4.3990499022742915
diapers wipes,babies,baby food formula,babies,4451,0.13845021608933974,4.366418573378376
plates bowls cups flatware,household,body lotions soap,personal care,1699,0.05284810540008721,4.295250278294318
refrigerated pudding desserts,dairy eggs,canned fruit applesauce,canned goods,3312,0.10302114484113531,4.285451681134569
more household,household,cleaning products,household,1917,0.059629086552070165,4.26839114057221
paper goods,household,cleaning products,household,23084,0.7180374720751109,4.15748056431745
diapers wipes,babies,cleaning products,household,2496,0.07763912364839182,4.106352268759966
food storage,household,plates bowls cups flatware,household,2535,0.07885223495539795,4.066835656828672
cat food care,pets,body lotions soap,personal care,1543,0.04799566017206273,4.025129539933058
eye ear care,personal care,paper goods,household,2169,0.06746765192041741,4.010299091929609
doughs gelatins bake mixes,pantry,frozen dessert,frozen,2086,0.06488590221576336,3.993823005010531
diapers wipes,babies,laundry,household,2193,0.0682141819554981,3.9884442919994547
food storage,household,body lotions soap,personal care,2462,0.07658153943202752,3.9791842399705915
cleaning products,household,feminine care,personal care,1811,0.05633191223046377,3.9510171583390425
deodorants,personal care,cleaning products,household,1509,0.04693807595569842,3.942720949291795
laundry,household,deodorants,personal care,1364,0.042427790327085914,3.9398024658146706
baby food formula,babies,baby bath body care,babies,1446,0.04497843461361161,3.937664347891352
paper goods,household,facial care,personal care,2722,0.08466894814540166,3.9029395158601092
paper goods,household,shave needs,personal care,2330,0.07247562423908371,3.8977989696823157
latino foods,international,canned meals beans,canned goods,18365,0.5712510039273702,3.88142315216174
food storage,household,cleaning products,household,5958,0.18532608120878144,3.86653839999322
baking ingredients,pantry,baking supplies decor,pantry,6138,0.19092505647188662,3.8618041300045713
prepared soups salads,deli,prepared meals,deli,6638,0.20647776553606767,3.8542536325713903
paper goods,household,air fresheners candles,household,3975,0.12364403706023937,3.852155034596417
paper goods,household,laundry,household,19323,0.6010499944943409,3.847219740960502
latino foods,international,tortillas flat bread,bakery,14566,0.4530815204577225,3.8125782879166725
oral hygiene,personal care,cleaning products,household,5773,0.17957157885503444,3.766460050112646
oral hygiene,personal care,diapers wipes,babies,1439,0.04476069668671307,3.7614052710123187
hair care,personal care,cleaning products,household,2610,0.0811851413150251,3.735261774487859
paper goods,household,plates bowls cups flatware,household,8349,0.2596991359536952,3.7171531368960284
oral hygiene,personal care,laundry,household,5150,0.16019290336106484,3.7144311568114134
latino foods,international,preserved dips spreads,pantry,7970,0.247910182483046,3.6927485963843347
oral hygiene,personal care,soap,personal care,3491,0.10858901468611211,3.67598550449597
mint gum,snacks,breakfast bars pastries,breakfast,1240,0.038570718479169014,3.6610488621421293
breakfast bars pastries,breakfast,trail mix snack mix,snacks,2289,0.07120030209582086,3.634107179362822
laundry,household,more household,household,1473,0.04581828090307738,3.625752210780698
oral hygiene,personal care,muscles joints pain relief,personal care,1115,0.03468254121312375,3.6191596084453415
canned meals beans,canned goods,canned jarred vegetables,canned goods,58695,1.8257325170442138,3.562772170688392
hair care,personal care,laundry,household,2238,0.0696139257712744,3.540738839791968
paper goods,household,feminine care,personal care,3675,0.11431241162173074,3.516518250537885
cat food care,pets,trash bags liners,household,1162,0.036144495865156764,3.5148116962668485
tofu meat alternatives,deli,bulk grains rice dried goods,bulk,1932,0.060095667823995585,3.481631291413531
paper goods,household,dish detergents,household,19210,0.5975350822458361,3.478279698287674
dish detergents,household,air fresheners candles,household,1564,0.04864887395275833,3.4742117231807845
cold flu allergy,personal care,oral hygiene,personal care,1264,0.039317248514249704,3.469555899913593
laundry,household,food storage,household,4804,0.14943042868865156,3.4464985823653027
paper goods,household,diapers wipes,babies,4758,0.1479995794547469,3.433215991347356
cat food care,pets,paper goods,household,7419,0.23077109709431845,3.408318745708555
energy sports drinks,beverages,body lotions soap,personal care,2915,0.09067229384417554,3.3983594054924118
paper goods,household,deodorants,personal care,2954,0.09188540515118165,3.3851846159672427
laundry,household,feminine care,personal care,1403,0.04364090163409204,3.383774498739358
paper goods,household,food storage,household,11751,0.3655197684263831,3.344735055440228
oral hygiene,personal care,paper goods,household,11685,0.3634668108299112,3.3436868057309037
tofu meat alternatives,deli,indian foods,international,1454,0.0452272779586385,3.3316382986533184
oral hygiene,personal care,trash bags liners,household,1761,0.05477664132404567,3.3178544753289727
plates bowls cups flatware,household,cleaning products,household,3268,0.10165250644348736,3.317362821981184
vitamins supplements,personal care,protein meal replacements,personal care,1340,0.04168126029200522,3.2945359178308933
mint gum,snacks,energy sports drinks,beverages,1462,0.0454761213036654,3.2940674968284407
buns rolls,bakery,hot dogs bacon sausage,meat,28700,0.8927255002839924,3.268173324302684
marinades meat preparation,pantry,latino foods,international,4031,0.12538594047542764,3.2665819666186695
popcorn jerky,snacks,trail mix snack mix,snacks,5044,0.15689572903945848,3.2459990599720365
cat food care,pets,cleaning products,household,3096,0.09630237452540907,3.2428787974137965
baby food formula,babies,canned fruit applesauce,canned goods,11634,0.3618804345053647,3.239690133352979
frozen vegan vegetarian,frozen,indian foods,international,1040,0.03234963485349659,3.2260457032112098
frozen meat seafood,frozen,frozen appetizers sides,frozen,11361,0.3533886553563219,3.21584319926424
fruit vegetable snacks,snacks,trail mix snack mix,snacks,5067,0.1576111536564108,3.212025775604427
tofu meat alternatives,deli,asian foods,international,14669,0.4562853785249437,3.211288189223407
paper goods,household,beauty,personal care,1176,0.03657997171895384,3.2106408055896076
paper goods,household,first aid,personal care,1928,0.059971246151482145,3.21047420163393
dish detergents,household,food storage,household,4902,0.15247875966523106,3.1982551712826557
fruit vegetable snacks,snacks,canned fruit applesauce,canned goods,11455,0.3563125646603879,3.1906615444022877
oral hygiene,personal care,dish detergents,household,4856,0.1510479104313264,3.1851395222294023
marinades meat preparation,pantry,salad dressing toppings,pantry,5008,0.15577593398683742,3.1734013512871404
diapers wipes,babies,dish detergents,household,1908,0.0593491377889149,3.155789069289343
frozen meals,frozen,frozen pizza,frozen,32167,1.000567984935024,3.142453433651466
packaged seafood,seafood,canned meat seafood,canned goods,1223,0.038041926370986856,3.1196171955043375
frozen pizza,frozen,frozen appetizers sides,frozen,22179,0.6898870686689431,3.098202751612369
candy chocolate,snacks,mint gum,snacks,3953,0.12295971786141541,3.0922489784010136
latino foods,international,canned jarred vegetables,canned goods,15399,0.47899233375864814,3.0800227347054703
energy sports drinks,beverages,air fresheners candles,household,1218,0.03788639928034505,3.067900912275506
breakfast bars pastries,breakfast,cookies cakes,snacks,10648,0.3312104922307997,3.045438728811406
soft drinks,beverages,spirits,alcohol,6014,0.1870679846239697,3.0331906340607544
hair care,personal care,dish detergents,household,2099,0.06529027265143206,3.0200278625097097
soap,personal care,vitamins supplements,personal care,2053,0.0638594234175274,3.0080934290656494
hair care,personal care,paper goods,household,4783,0.14877721490795595,3.002243988207427
paper goods,household,more household,household,3070,0.09549363365407167,2.998096029833686
cat food care,pets,laundry,household,2589,0.08053192753432949,2.9978858503262407
latino foods,international,meat counter,meat,4359,0.13558851762153043,2.986833245639095
kitchen supplies,household,spices seasonings,pantry,1357,0.04221005240018738,2.9710358223295166
diapers wipes,babies,food storage,household,1141,0.035491282084461166,2.9666410390662064
refrigerated pudding desserts,dairy eggs,doughs gelatins bake mixes,pantry,2635,0.08196277676823414,2.9650317180113337
cold flu allergy,personal care,energy sports drinks,beverages,1504,0.04678254886505661,2.962029784658079
dog food care,pets,laundry,household,1912,0.05947355946142835,2.9577527267800487
marinades meat preparation,pantry,packaged poultry,meat,6149,0.1912672160712986,2.951996115123902
asian foods,international,indian foods,international,1681,0.0522882078737767,2.949832223956466
laundry,household,muscles joints pain relief,personal care,1301,0.040468148984999106,2.93822959929469
instant foods,dry goods pasta,canned fruit applesauce,canned goods,11768,0.36604856053456525,2.9374486305416165
marinades meat preparation,pantry,doughs gelatins bake mixes,pantry,4737,0.1473463656740513,2.9152818845984956
frozen meals,frozen,frozen vegan vegetarian,frozen,16883,0.5251527742611375,2.9148215934007156
soap,personal care,cleaning products,household,4374,0.13605509889345585,2.8988450859297736
frozen breakfast,frozen,frozen appetizers sides,frozen,29623,0.9214358012164707,2.8957309082781877
instant foods,dry goods pasta,doughs gelatins bake mixes,pantry,13335,0.4147907507417087,2.8946968607968744
energy granola bars,snacks,breakfast bars pastries,breakfast,14828,0.4612311400073533,2.8933580401482644
breakfast bars pastries,breakfast,body lotions soap,personal care,1891,0.058820345680732744,2.888823417584922
cleaning products,household,muscles joints pain relief,personal care,1405,0.04370311247034876,2.870327688700396
dog food care,pets,cleaning products,household,2031,0.06317510421870344,2.8420428541109666
oral hygiene,personal care,digestion,personal care,1240,0.038570718479169014,2.839346214234853
grains rice dried goods,dry goods pasta,indian foods,international,1527,0.04749797348200894,2.832945131226003
bakery desserts,bakery,cookies cakes,snacks,5501,0.17111090512411997,2.8312625490254155
canned jarred vegetables,canned goods,spices seasonings,pantry,34808,1.0827173942120283,2.8258421566542506
energy sports drinks,beverages,spirits,alcohol,1562,0.04858666311650161,2.8229671396271674
laundry,household,plates bowls cups flatware,household,2515,0.0782301265928307,2.8222936028545553
energy sports drinks,beverages,soft drinks,beverages,18781,0.5841908578687687,2.796850562226076
canned fruit applesauce,canned goods,doughs gelatins bake mixes,pantry,6046,0.1880633580040773,2.7924989988561313
marinades meat preparation,pantry,condiments,pantry,9728,0.3025935075527066,2.7907424379060473
marinades meat preparation,pantry,buns rolls,bakery,5289,0.16451655648090718,2.7876925158866754
cold flu allergy,personal care,paper goods,household,3677,0.11437462245798746,2.786171202546443
canned fruit applesauce,canned goods,frozen dessert,frozen,1265,0.039348353932378066,2.7849832425500627
breakfast bars pastries,breakfast,canned fruit applesauce,canned goods,3986,0.12398619665965137,2.7806527702847057
paper goods,household,baby accessories,babies,1407,0.043765323306605486,2.775647693048974
breakfast bars pastries,breakfast,fruit vegetable snacks,snacks,7580,0.23577906941298477,2.7732044105825993
frozen meat seafood,frozen,frozen breakfast,frozen,11621,0.36147606406969607,2.7639944938652943
breakfast bars pastries,breakfast,energy sports drinks,beverages,3952,0.12292861244328705,2.763469751278414
dish detergents,household,feminine care,personal care,1259,0.039161721423607895,2.7614308386457425
frozen breakfast,frozen,canned fruit applesauce,canned goods,13201,0.4106226247125082,2.757212972944452
instant foods,dry goods pasta,frozen appetizers sides,frozen,23595,0.733932340738704,2.756470083881205
energy sports drinks,beverages,plates bowls cups flatware,household,2381,0.07406200056363017,2.7552613706992664
instant foods,dry goods pasta,frozen pizza,frozen,19630,0.6105993578597482,2.753643285778898
bulk dried fruits vegetables,bulk,nuts seeds dried fruit,snacks,3815,0.11866717015970145,2.743279234072495
paper goods,household,muscles joints pain relief,personal care,3052,0.09493373612776115,2.7346689045914734
dish detergents,household,deodorants,personal care,1036,0.03222521318098314,2.7213508147654286
tofu meat alternatives,deli,canned meals beans,canned goods,20096,0.6250944827075648,2.721095146180617
oral hygiene,personal care,dog food care,pets,1223,0.038041926370986856,2.719098051000807
dog food care,pets,paper goods,household,4413,0.13726821020046198,2.7084429562023487
kitchen supplies,household,baking ingredients,pantry,1822,0.05667407182987575,2.706146254733866
preserved dips spreads,pantry,tortillas flat bread,bakery,15528,0.4830049326972068,2.70402616214929
oral hygiene,personal care,cat food care,pets,1624,0.050515199040460056,2.702672999054465
candy chocolate,snacks,trail mix snack mix,snacks,6416,0.19957236271157128,2.6988583712063514
mint gum,snacks,soft drinks,beverages,4290,0.13344224377067343,2.6974531010221354
soup broth bouillon,canned goods,canned jarred vegetables,canned goods,53135,1.6527863922505204,2.6967123252763794
canned meals beans,canned goods,grains rice dried goods,dry goods pasta,24592,0.7649444426126809,2.6960853869848758
popcorn jerky,snacks,mint gum,snacks,2247,0.06989387453442966,2.6891082514870766
oral hygiene,personal care,food storage,household,2608,0.08112293047876837,2.689101089101492
juice nectars,beverages,frozen juice,frozen,1020,0.03172752649092935,2.686265539525336
frozen meals,frozen,frozen appetizers sides,frozen,32922,1.0240525756219372,2.678492432921109
fresh herbs,produce,spices seasonings,pantry,41887,1.3029126491427037,2.678292721219568
doughs gelatins bake mixes,pantry,frozen appetizers sides,frozen,12385,0.3852406035197647,2.677235500229275
marinades meat preparation,pantry,spices seasonings,pantry,8060,0.2507096701145986,2.6510824218192415
oils vinegars,pantry,spices seasonings,pantry,30020,0.9337846522134305,2.6490652022373413
buns rolls,bakery,frozen appetizers sides,frozen,14286,0.44437200338178107,2.644815265281303
instant foods,dry goods pasta,fresh pasta,dry goods pasta,4639,0.14429803469747182,2.6392640813588297
energy granola bars,snacks,fruit vegetable snacks,snacks,33851,1.0529495090631855,2.6373470515793542
canned meat seafood,canned goods,pickled goods olives,pantry,5144,0.16000627085229469,2.635528052886122
hair care,personal care,food storage,household,1165,0.03623781211954186,2.634961021429807
dish detergents,household,more household,household,1170,0.036393339210183666,2.6190629306747635
cat food care,pets,canned meat seafood,canned goods,1731,0.05384347878019481,2.6184727584462264
canned meals beans,canned goods,tortillas flat bread,bakery,32940,1.0246124731482478,2.616541339477049
breakfast bakery,bakery,other creams cheeses,dairy eggs,49909,1.5524403133684244,2.6114290101324897
packaged poultry,meat,meat counter,meat,6421,0.1997278898022131,2.6064974485049963
canned fruit applesauce,canned goods,frozen appetizers sides,frozen,10480,0.3259847819852349,2.6050100163534533
nuts seeds dried fruit,snacks,trail mix snack mix,snacks,7172,0.223088058816613,2.601088368798067
grains rice dried goods,dry goods pasta,bulk grains rice dried goods,bulk,1782,0.05542985510474127,2.6000939534877134
cookies cakes,snacks,refrigerated pudding desserts,dairy eggs,4886,0.15198107297517727,2.591982679661607
cookies cakes,snacks,trail mix snack mix,snacks,5218,0.16230807179379347,2.5858381557219197
cold flu allergy,personal care,cleaning products,household,1496,0.04653370552002971,2.5845247526835293
latino foods,international,poultry counter,meat,6786,0.21108136741906525,2.584013351299291
soap,personal care,laundry,household,3512,0.10924222846680771,2.573084285839816
fresh pasta,dry goods pasta,frozen pizza,frozen,3775,0.11742295343456695,2.5680886027826424
energy sports drinks,beverages,cocoa drink mixes,beverages,1132,0.03521133332130591,2.5678576606237566
fresh herbs,produce,canned jarred vegetables,canned goods,56747,1.7651391625301647,2.5674450065057997
latino foods,international,packaged poultry,meat,6219,0.19344459534028394,2.565816546817627
canned jarred vegetables,canned goods,dry pasta,dry goods pasta,42836,1.3324316909465193,2.5631441898616383
cocoa drink mixes,beverages,doughs gelatins bake mixes,pantry,1302,0.04049925440312746,2.562416015577853
latino foods,international,spices seasonings,pantry,9061,0.28184619366108904,2.5612859954047766
buns rolls,bakery,doughs gelatins bake mixes,pantry,7443,0.23151762712939916,2.5604098216477627
preserved dips spreads,pantry,chips pretzels,snacks,43727,1.36014661849889,2.558359502947257
canned jarred vegetables,canned goods,meat counter,meat,12989,0.4040282760692954,2.5561522011836666
paper goods,household,baby bath body care,babies,1275,0.039659408113661684,2.5538154083576634
energy granola bars,snacks,trail mix snack mix,snacks,7530,0.23422379850656666,2.5458336270301634
diapers wipes,babies,canned fruit applesauce,canned goods,1360,0.04230336865457247,2.544571741842346
latino foods,international,other creams cheeses,dairy eggs,14908,0.46371957345762227,2.5357866936092166
energy sports drinks,beverages,muscles joints pain relief,personal care,1086,0.03378048408740125,2.5291667525392865
instant foods,dry goods pasta,marinades meat preparation,pantry,7598,0.2363389669392953,2.527081194829681
popcorn jerky,snacks,fruit vegetable snacks,snacks,17020,0.5294142165447231,2.5240247268843783
cookies cakes,snacks,ice cream toppings,snacks,1509,0.04693807595569842,2.521885393489567
honeys syrups nectars,pantry,hot cereal pancake mixes,breakfast,7371,0.22927803702415708,2.521501595470011
packaged seafood,seafood,other creams cheeses,dairy eggs,4488,0.13960111656008914,2.521363709420511
breakfast bars pastries,breakfast,cereal,breakfast,13808,0.42950361351642397,2.520727335233942
breakfast bars pastries,breakfast,refrigerated pudding desserts,dairy eggs,1482,0.04609822966623264,2.5187293935501165
cat food care,pets,energy sports drinks,beverages,2108,0.06557022141458732,2.5170558635921463
poultry counter,meat,meat counter,meat,6706,0.2085929339687963,2.51243038198079
frozen breakfast,frozen,frozen pizza,frozen,21307,0.6627631440610114,2.5009531001566443
frozen meat seafood,frozen,frozen pizza,frozen,7323,0.22778497695399572,2.4889800623932206
preserved dips spreads,pantry,canned meals beans,canned goods,17663,0.5494150004012599,2.483598737652577
canned meals beans,canned goods,bulk grains rice dried goods,bulk,2897,0.09011239631786502,2.4729517620834347
energy sports drinks,beverages,refrigerated pudding desserts,dairy eggs,1899,0.059069189025759646,2.462972442231656
condiments,pantry,salad dressing toppings,pantry,12766,0.39709176782667066,2.4610742192814357
condiments,pantry,canned meat seafood,canned goods,8993,0.2797310252283604,2.458700104330513
popcorn jerky,snacks,breakfast bars pastries,breakfast,6616,0.20579344633724372,2.4572727669447056
salad dressing toppings,pantry,pickled goods olives,pantry,6794,0.21133021076409214,2.4544892287008593
condiments,pantry,pickled goods olives,pantry,15005,0.4667367990160734,2.4541838866605428
baking ingredients,pantry,spices seasonings,pantry,31524,0.980567201078487,2.453610044618535
baking ingredients,pantry,cocoa drink mixes,beverages,3438,0.10694042752530891,2.4531855540183085
instant foods,dry goods pasta,frozen breakfast,frozen,24983,0.7771066611008706,2.45241100887738
frozen meat seafood,frozen,canned fruit applesauce,canned goods,4054,0.12610136509237999,2.4518639514095515
frozen meat seafood,frozen,buns rolls,bakery,5443,0.16930679087267494,2.4518141133983433
grains rice dried goods,dry goods pasta,canned jarred vegetables,canned goods,23615,0.7345544491012711,2.4501297639567543
cold flu allergy,personal care,laundry,household,1281,0.039846040622431855,2.446535426052454
frozen meals,frozen,frozen breakfast,frozen,35766,1.1125163847789992,2.4450624312600486
crackers,snacks,trail mix snack mix,snacks,9583,0.2980832219240941,2.4450566476104543
canned meals beans,canned goods,soup broth bouillon,canned goods,45576,1.4176605366182313,2.444155303045156
latino foods,international,pickled goods olives,pantry,5247,0.16321012891951597,2.4241904284148674
frozen vegan vegetarian,frozen,frozen appetizers sides,frozen,9809,0.3051130464211039,2.421568032947295
breakfast bars pastries,breakfast,doughs gelatins bake mixes,pantry,3991,0.12414172375029317,2.4212166019918286
instant foods,dry goods pasta,frozen meat seafood,frozen,8516,0.2648937407811317,2.420658160431149
oral hygiene,personal care,plates bowls cups flatware,household,1500,0.046658127192543156,2.4192452504817648
seafood counter,seafood,meat counter,meat,1524,0.047404657227623846,2.4173018885734168
soft drinks,beverages,plates bowls cups flatware,household,7467,0.23226415716447987,2.41135442559886
tofu meat alternatives,deli,grains rice dried goods,dry goods pasta,10416,0.3239940352250197,2.410733864591223
fresh pasta,dry goods pasta,prepared meals,deli,2244,0.06980055828004457,2.409120783318632
baking supplies decor,pantry,spices seasonings,pantry,2592,0.08062524378871458,2.4039393387553685
marinades meat preparation,pantry,canned jarred vegetables,canned goods,10328,0.32125675842972384,2.4037199961091598
baking ingredients,pantry,ice cream toppings,snacks,1868,0.05810492106378041,2.400871632731988
doughs gelatins bake mixes,pantry,hot dogs bacon sausage,meat,18026,0.5607062671818553,2.3967813570677943
fruit vegetable snacks,snacks,cookies cakes,snacks,20980,0.652591672333037,2.3958713056575833
instant foods,dry goods pasta,breakfast bars pastries,breakfast,7304,0.22719397400955682,2.394723728144095
frozen vegan vegetarian,frozen,frozen pizza,frozen,8077,0.25123846222278073,2.3942864172799854
ice cream ice,frozen,frozen dessert,frozen,4921,0.15306976260966992,2.389389793342746
fruit vegetable snacks,snacks,baby food formula,babies,16315,0.5074848967642278,2.3826744207397184
marinades meat preparation,pantry,poultry counter,meat,5376,0.16722272785807468,2.3820254751857672
baking ingredients,pantry,butter,dairy eggs,43873,1.3646880095456309,2.3796901874269327
frozen breakfast,frozen,baby food formula,babies,21728,0.6758585250930519,2.3794425012602805
cat food care,pets,food storage,household,1433,0.0445740641779429,2.3721584206800905
frozen breakfast,frozen,doughs gelatins bake mixes,pantry,13056,0.40611233908389566,2.3714614700552787
breakfast bars pastries,breakfast,frozen breakfast,frozen,8644,0.26887523430156207,2.371402495231382
marinades meat preparation,pantry,asian foods,international,5964,0.1855127137175516,2.371311490960629
instant foods,dry goods pasta,pasta sauce,dry goods pasta,24329,0.7567637176449217,2.3709429563425917
instant foods,dry goods pasta,latino foods,international,8277,0.25745954584845315,2.365846797749992
cookies cakes,snacks,frozen dessert,frozen,2621,0.08152730091443708,2.3657641133432623
baking ingredients,pantry,honeys syrups nectars,pantry,11742,0.3652398196632278,2.3651579596664782
packaged produce,produce,trail mix snack mix,snacks,4997,0.15543377438742545,2.3571960593940897
poultry counter,meat,seafood counter,seafood,2672,0.08311367723898355,2.3552616922121774
frozen meals,frozen,frozen dessert,frozen,3263,0.10149697935284555,2.3512847815451217
pasta sauce,dry goods pasta,indian foods,international,1928,0.059971246151482145,2.3509836376615403
energy granola bars,snacks,protein meal replacements,personal care,6644,0.20666439804483783,2.3503754061234314
baking ingredients,pantry,doughs gelatins bake mixes,pantry,16112,0.5011704968841703,2.346403275313228
frozen vegan vegetarian,frozen,canned meals beans,canned goods,12778,0.397465032844211,2.3422903355606217
baking supplies decor,pantry,cleaning products,household,1332,0.04143241694697832,2.337088154793295
energy granola bars,snacks,granola,breakfast,18224,0.566865139971271,2.3351548507013034
dish detergents,household,plates bowls cups flatware,household,2286,0.07110698584143578,2.332948363624753
grains rice dried goods,dry goods pasta,spices seasonings,pantry,15909,0.49485609700411276,2.3327304547688184
latino foods,international,doughs gelatins bake mixes,pantry,4396,0.13673941809227982,2.325030257799732
instant foods,dry goods pasta,indian foods,international,1579,0.049115455224683774,2.317825133354303
canned meals beans,canned goods,indian foods,international,2135,0.0664100677040531,2.317302945254277
breakfast bars pastries,breakfast,breakfast bakery,bakery,9428,0.29326188211419796,2.316760306090395
breakfast bars pastries,breakfast,plates bowls cups flatware,household,1527,0.04749797348200894,2.3154806919000794
buns rolls,bakery,canned fruit applesauce,canned goods,5852,0.18202890688717505,2.3148525540884255
asian foods,international,condiments,pantry,19135,0.5952021758862089,2.314667567200977
condiments,pantry,spices seasonings,pantry,23088,0.7181618937476243,2.310381460095808
marinades meat preparation,pantry,food storage,household,2346,0.0729733109291375,2.3070993240904563
marinades meat preparation,pantry,packaged meat,meat,1396,0.0434231637071935,2.301460061941052
mint gum,snacks,cookies cakes,snacks,2496,0.07763912364839182,2.3002431538738746
marinades meat preparation,pantry,preserved dips spreads,pantry,4260,0.13250908122682256,2.2967158274133412
instant foods,dry goods pasta,dry pasta,dry goods pasta,26856,0.8353671092552927,2.2964538184318224
ice cream ice,frozen,refrigerated pudding desserts,dairy eggs,8041,0.2501186671701597,2.294657727610772
canned jarred vegetables,canned goods,pickled goods olives,pantry,17261,0.5369106223136583,2.2903850776948733
breakfast bars pastries,breakfast,crackers,snacks,15547,0.4835959356416457,2.289383745405719
frozen pizza,frozen,doughs gelatins bake mixes,pantry,8820,0.27434978789215375,2.2893554529071505
