department,aisle,count,reorder_sum,reorder_rate,share_pct,aisle_id
household,dish detergents,94927,37322,0.39316527436872545,0.2926730246929434,74
household,food storage,65946,16819,0.25504200406393107,0.2033206072708591,85
household,kitchen supplies,9172,1792,0.19537723506323593,0.028278540167535858,10
household,laundry,94354,38199,0.40484770121033553,0.29090638671692964,75
household,more household,17514,4372,0.2496288683339043,0.05399807593700644,87
household,paper goods,242996,128303,0.5280045762070158,0.7491901598943027,54
household,plates bowls cups flatware,43348,19177,0.4423964196733413,0.13364785861124556,111
household,trash bags liners,32081,10771,0.3357438982575356,0.09891014469196663,60
international,asian foods,166607,58501,0.35113170515044384,0.5136723442752559,66
international,indian foods,15901,6397,0.4023017420288032,0.049024974618838604,76
international,kosher foods,11798,4731,0.4010001695202577,0.03637486010647493,33
international,latino foods,74947,29787,0.3974408582064659,0.23107193086963693,30
meat,hot dogs bacon sausage,305655,170005,0.556198982512964,0.9423764931212575,106
meat,meat counter,70887,37786,0.533045551370491,0.21855439128392004,122
meat,packaged meat,33865,18394,0.5431566514100103,0.1044104625788925,7
meat,packaged poultry,118437,70971,0.599229970363991,0.3651575950525997,49
meat,poultry counter,129514,79374,0.6128603857498031,0.39930951278436977,35
missing,missing,69145,27371,0.3958493021910478,0.21318356518581194,100
other,other,36291,14806,0.4079799399300102,0.11189015495203268,6
pantry,baking ingredients,326692,99668,0.3050824629926659,1.0072364636298108,17
pantry,baking supplies decor,23692,3962,0.16722944453824076,0.07304570144453332,97
pantry,condiments,222049,68520,0.30858053852978395,0.6846076717903586,72
pantry,doughs gelatins bake mixes,106089,41669,0.3927739916485215,0.3270870091401779,105
pantry,honeys syrups nectars,66926,24030,0.3590532827301796,0.20634208234327356,29
pantry,marinades meat preparation,62510,17542,0.28062709966405375,0.19272694569043464,5
pantry,oils vinegars,245466,86120,0.3508428865912183,0.7568055103319187,19
pantry,pickled goods olives,112639,50448,0.44787329432967266,0.3472815619200907,110
pantry,preserved dips spreads,108691,50987,0.46910047750043704,0.33510933377122115,51
pantry,salad dressing toppings,99331,33913,0.3414140600618135,0.3062511636918343,89
pantry,spices seasonings,212092,32321,0.15239141504630066,0.6539088684270623,104
pantry,spreads,289400,141121,0.48763303386316514,0.8922600877109549,88
personal care,beauty,6168,1308,0.21206225680933852,0.019016794129236937,132
personal care,body lotions soap,40768,13428,0.3293759811616955,0.12569336301244025,127
personal care,cold flu allergy,26061,6156,0.23621503395878898,0.08034965496142085,11
personal care,deodorants,14815,3509,0.23685453931825853,0.04567668693655078,80
personal care,digestion,26873,11987,0.4460611022215607,0.08285316287856423,70
personal care,eye ear care,8974,1950,0.21729440606195677,0.02766807887739499,44
personal care,facial care,12169,3856,0.31687073711890873,0.03751870424103182,73
personal care,feminine care,19753,6337,0.3208120285526249,0.06090122153612471,126
personal care,first aid,10872,2118,0.19481236203090507,0.033519874476826195,118
personal care,hair care,32013,7870,0.24583762846343674,0.09870049131959502,22
personal care,muscles joints pain relief,18683,6410,0.3430926510731681,0.05760226405910079,133
personal care,oral hygiene,63749,20486,0.3213540604558503,0.1965469534605586,20
personal care,protein meal replacements,36599,18531,0.506325309434684,0.11283976140336295,65
personal care,shave needs,10344,2712,0.26218097447795824,0.0318919777031172,55
personal care,skin care,10164,2460,0.24203069657615112,0.03133701289389822,109
personal care,soap,64059,20430,0.3189247412541563,0.19750272618754683,25
personal care,vitamins supplements,45059,14036,0.31150269646463524,0.13892310743665487,47
pets,cat food care,63421,39377,0.6208826729316788,0.1955356842526485,41
pets,dog food care,34303,19383,0.5650526193044341,0.105760876947992,40
produce,fresh fruits,3642188,2615469,0.7181037881625001,11.229367603109147,24
produce,fresh herbs,377741,195230,0.5168356095843448,1.1646275666621417,16
produce,fresh vegetables,3418021,2032172,0.5945463763973363,10.538229845396978,83
produce,packaged produce,276028,190662,0.6907342733345893,0.8510323686616429,32
produce,packaged vegetables fruits,1765313,1127177,0.6385139632461778,5.442703290315442,123
seafood,packaged seafood,20931,10620,0.5073813960154794,0.06453315789868001,15
seafood,seafood counter,29642,15292,0.5158896160852844,0.0913903715270495,39
snacks,candy chocolate,300567,172313,0.5732931426271014,0.9266894878473344,45
snacks,chips pretzels,722470,425387,0.5887953825072322,2.227474587313523,107
snacks,cookies cakes,234065,128431,0.5486980112361951,0.7216546559435544,61
snacks,crackers,458838,261145,0.5691442295537859,1.4146607951800938,78
snacks,energy granola bars,456386,272922,0.5980069502570193,1.4071009412233997,3
snacks,fruit vegetable snacks,175757,104121,0.5924145268751743,0.5418830554105538,50
snacks,ice cream toppings,11202,2990,0.26691662203178,0.03453730996039432,103
snacks,mint gum,22664,12667,0.5589039887045535,0.06987623575632716,46
snacks,nuts seeds dried fruit,306487,159119,0.5191704705256667,0.9449416637949806,117
snacks,popcorn jerky,163524,96804,0.5919864973948779,0.5041670303484664,23
snacks,trail mix snack mix,35590,22074,0.620230401798258,0.10972887533390767,125
